curva,n_campanas,r2_gauss,c,A_1,mu_1,sigma_1,A_2,mu_2,sigma_2,A_3,mu_3,sigma_3,A_4,mu_4,sigma_4,A_5,mu_5,sigma_5,A_6,mu_6,sigma_6,A_7,mu_7,sigma_7,A_8,mu_8,sigma_8
1,8,0.999808,-11.835891,41.22649,48.723458,20.251726,15.681822,81.937269,13.194027,72.356318,109.851928,25.239673,6.525526,148.922546,10.846425,67.0849,193.645968,35.772417,6.363893,241.752035,12.841517,5.685501,275.853177,13.884367,87.822663,325.933319,68.222749
2,8,0.999839,24.628787,32.220651,41.26476,19.107316,10.559131,59.474914,23.524688,47.518932,122.167794,17.468692,25.219462,148.993641,12.274479,22.079283,162.882128,8.020143,57.187378,186.980495,14.278293,35.796236,215.258593,16.470664,47.838359,259.106602,23.133363
3,8,0.999996,23.49759,5.91403,22.050161,13.620436,1.646474,49.226884,7.610249,5.57606,60.586471,6.325817,22.451717,86.979106,18.215807,8.017211,113.784092,11.705583,22.030033,118.927804,28.420676,25.324686,175.120085,22.378084,49.287459,218.885079,94.89713
4,8,0.999977,24.221983,27.984211,23.08734,16.855711,24.287638,52.313043,15.514113,11.738189,70.877312,10.184921,21.172087,80.344817,7.609756,19.021367,87.939974,5.544558,10.418308,93.743835,4.005923,3.51164,98.410339,2.750744,68.411853,106.710333,10.071339
5,8,0.999978,-12.889283,14.606161,15.299145,11.480807,58.344733,38.02418,18.759506,0.62797,63.422248,8.269386,58.904779,77.800033,24.25987,55.193331,118.204137,18.450813,13.665243,147.397381,10.753686,11.481834,173.03373,17.539121,64.99658,197.77883,56.187657
6,8,1.0,7.020895,0.93937,29.072456,4.705135,11.15133,35.498984,14.451442,2.259876,56.31097,8.699085,27.646083,70.684504,16.188053,56.394794,101.178117,18.585447,16.818964,122.105261,10.599342,2.90237,129.471788,6.269475,54.468816,148.869839,28.158661
7,8,0.999995,32.078607,0.826364,15.72641,3.1995,19.352937,49.506849,12.366535,19.641316,65.84371,9.986348,16.108522,76.331227,7.179088,11.476949,83.41792,5.270784,5.940044,88.979248,3.805069,1.950428,93.453244,2.609312,47.139519,101.413779,10.727323
8,8,0.999853,23.069191,8.027732,13.093095,7.923764,21.416748,28.214879,13.382176,55.98246,60.939359,18.408466,21.636428,81.752898,11.122005,37.48197,110.137031,16.832847,28.312024,157.738659,17.964678,15.126315,181.378104,9.291707,36.27753,206.155885,12.927989
9,8,0.999682,1.17905,18.142239,16.589101,8.870681,51.949817,42.763624,17.857027,0.236183,42.004754,2.571601,1.197055,54.053689,3.061504,24.915448,71.707366,10.083467,21.319146,83.973233,6.36309,8.600068,91.240648,4.276337,67.663627,103.55896,9.731602
10,8,0.999936,-25.476605,12.060544,36.575228,10.362554,68.811107,53.038946,28.192818,44.140842,116.736385,28.994518,1.199705,143.674868,9.282989,80.086273,200.030823,42.933294,2.249041,212.011686,8.93801,5.729181,235.61717,14.123414,45.876776,311.241036,40.045738
11,8,0.999995,-9.765643,41.416327,43.253026,21.237523,1.079154,57.582403,4.35773,47.633697,70.073384,11.882448,11.446917,96.011907,8.512644,51.589139,104.607012,17.506205,88.853771,150.792139,35.908453,4.682467,172.065489,8.372407,59.294792,220.749305,26.549988
12,8,0.999992,-9.584813,25.004828,18.066313,16.866894,5.271633,34.816096,7.505623,2.254751,41.690882,5.461937,38.528103,53.988153,11.230554,45.062692,76.444719,16.4548,14.059062,102.472229,11.436549,3.442078,117.597754,7.750548,89.002488,140.83994,34.225081
13,8,0.999897,-16.182212,11.274709,16.325377,8.657904,42.949777,35.21117,14.17125,5.645433,79.753413,9.132676,13.989622,101.334447,8.403072,73.776902,108.165766,64.701387,17.203559,157.761901,13.418479,21.334646,194.453933,26.024733,40.508841,244.086851,31.365142
14,8,0.999773,-8.115598,5.407974,14.733662,8.912468,68.165542,46.95867,18.96301,6.200006,83.048266,9.103579,86.16686,105.290933,30.647985,39.268997,157.577141,20.868047,43.21999,187.851237,14.034302,15.351619,206.507031,9.493581,101.043285,234.031244,21.791119
15,8,0.999987,-25.434099,79.976468,37.803463,20.552223,6.768664,33.946545,4.44694,13.965115,59.909178,10.219236,62.287651,80.012102,14.335358,1.507543,85.604744,4.718196,41.906419,105.314125,14.365776,3.747299,124.185673,8.705996,95.854843,144.255175,24.393052
16,8,0.999807,3.930488,2.731985,12.681527,6.123122,2.182646,35.841835,3.982002,39.91466,34.301237,15.909153,67.017782,69.506957,20.197773,30.286106,101.233681,12.544391,20.858504,115.847669,8.05899,11.414374,124.799458,5.359961,75.347702,139.971107,10.912222
17,8,0.999999,7.549695,15.662264,18.541103,8.321197,28.056993,32.700284,11.244165,4.521151,47.9501,7.577153,45.307596,66.690916,17.673567,11.416266,88.616921,7.854925,2.53445,96.043094,5.284367,0.67494,101.77275,3.619823,66.71822,110.304911,14.910786
18,8,0.99996,-7.668585,10.891152,28.720256,15.695272,4.435705,48.081271,10.192523,42.923477,81.027141,26.253168,6.496789,119.596875,8.095816,2.979253,142.278333,6.877733,62.426067,146.435077,51.298299,44.571207,238.960734,33.473051,1.893481,222.526803,9.253123
19,8,1.0,-12.530472,14.205712,14.170557,11.796239,0.047547,23.57005,2.518186,0.852737,35.182773,8.057011,1.803735,45.85189,5.280824,23.691301,43.969689,15.167185,9.151694,105.295031,14.486335,0.512525,109.891538,5.083281,86.586382,104.157727,78.217614
