curva,mejor_metodo,r2_mejor,r2_gauss,r2_spline,n_campanas,c,n_knots,A_1,mu_1,sigma_1,A_2,mu_2,sigma_2
1,gaussianas,0.999808,0.999808,0.999606,8,-11.835891,17,41.22649,48.723458,20.251726,15.681822,81.937269,13.194027
2,gaussianas,0.999839,0.999839,0.999541,8,24.628787,15,32.220651,41.26476,19.107316,10.559131,59.474914,23.524688
3,gaussianas,0.999996,0.999996,0.999785,8,23.49759,11,5.91403,22.050161,13.620436,1.646474,49.226884,7.610249
4,polinomio,0.999999,0.999977,0.999309,8,24.221983,5,27.984211,23.08734,16.855711,24.287638,52.313043,15.514113
5,gaussianas,0.999978,0.999978,0.999229,8,-12.889283,9,14.606161,15.299145,11.480807,58.344733,38.02418,18.759506
6,gaussianas,1.0,1.0,0.999874,8,7.020895,8,0.93937,29.072456,4.705135,11.15133,35.498984,14.451442
7,polinomio,1.0,0.999995,0.999571,8,32.078607,3,0.826364,15.72641,3.1995,19.352937,49.506849,12.366535
8,gaussianas,0.999853,0.999853,0.999383,8,23.069191,13,8.027732,13.093095,7.923764,21.416748,28.214879,13.382176
9,polinomio,0.999728,0.999682,0.998404,8,1.17905,5,18.142239,16.589101,8.870681,51.949817,42.763624,17.857027
10,gaussianas,0.999936,0.999936,0.999203,8,-25.476605,9,12.060544,36.575228,10.362554,68.811107,53.038946,28.192818
11,gaussianas,0.999995,0.999995,0.999708,8,-9.765643,12,41.416327,43.253026,21.237523,1.079154,57.582403,4.35773
12,gaussianas,0.999992,0.999992,0.999788,8,-9.584813,8,25.004828,18.066313,16.866894,5.271633,34.816096,7.505623
13,gaussianas,0.999897,0.999897,0.998967,8,-16.182212,13,11.274709,16.325377,8.657904,42.949777,35.21117,14.17125
14,gaussianas,0.999773,0.999773,0.999711,8,-8.115598,15,5.407974,14.733662,8.912468,68.165542,46.95867,18.96301
15,gaussianas,0.999987,0.999987,0.99942,8,-25.434099,11,79.976468,37.803463,20.552223,6.768664,33.946545,4.44694
16,polinomio,0.999908,0.999807,0.99952,8,3.930488,9,2.731985,12.681527,6.123122,2.182646,35.841835,3.982002
17,gaussianas,0.999999,0.999999,0.999401,8,7.549695,7,15.662264,18.541103,8.321197,28.056993,32.700284,11.244165
18,gaussianas,0.99996,0.99996,0.999614,8,-7.668585,12,10.891152,28.720256,15.695272,4.435705,48.081271,10.192523
19,gaussianas,1.0,1.0,0.999311,8,-12.530472,6,14.205712,14.170557,11.796239,0.047547,23.57005,2.518186
20,spline,0.999614,0.999386,0.999614,8,-6.048494,15,16.579856,31.971486,10.177879,45.436442,56.308131,10.702906
21,gaussianas,0.999991,0.999991,0.999582,8,32.858232,10,1.055713,15.929687,5.732447,7.16414,59.859582,9.614078
22,gaussianas,0.999923,0.999923,0.999677,8,0.472849,15,10.744239,24.935162,11.731443,38.198829,72.681329,40.304134
23,gaussianas,0.999984,0.999984,0.999672,8,32.766389,11,24.273097,27.015275,16.834307,2.470414,39.1686,6.981435
24,gaussianas,0.999994,0.999994,0.999574,8,4.834176,11,4.812491,19.826009,6.805113,8.617399,31.660793,7.592406
25,gaussianas,0.999996,0.999996,0.999782,8,-61.49261,11,31.470771,7.859779,45.178611,25.156001,63.546142,21.291812
26,gaussianas,0.999954,0.999954,0.999446,8,-3.784907,16,2.689767,21.53943,6.788678,14.087355,64.760536,10.513625
27,gaussianas,0.999875,0.999875,0.999647,8,-77.006855,13,0.794004,27.740559,7.772061,112.36707,84.547494,30.195809
28,polinomio,0.999994,0.999833,0.999064,8,8.749321,4,4.987357,24.462316,10.277694,36.552466,44.647825,19.782473
29,spline,0.99939,0.997449,0.99939,8,31.036533,17,16.645204,35.670038,12.727609,26.146415,59.088097,12.130686
30,spline,0.999641,0.999386,0.999641,8,-73.045801,18,67.30769,19.19843,21.662413,139.797751,72.432659,27.783304
31,polinomio,1.0,0.999988,0.999717,8,-5.626533,3,16.815557,33.065419,12.624268,37.174371,51.717997,11.884325
32,gaussianas,1.0,1.0,0.999753,7,-2.9966,2,28.112204,17.890503,15.458864,2.338883,27.711367,5.305657
33,polinomio,1.0,0.999967,0.999934,8,27.328132,2,9.004555,33.914758,10.425108,14.393624,51.534779,9.660016
34,gaussianas,0.999914,0.999914,0.999403,8,-28.147829,13,24.124651,48.314,14.078078,28.807396,61.912827,53.492307
35,gaussianas,0.999983,0.999983,0.999708,7,-38.690764,11,71.524517,44.227668,25.915673,18.876475,80.061131,14.330885
36,gaussianas,0.999978,0.999978,0.999609,8,-10.140796,14,4.910214,40.945121,6.991402,53.634593,54.51403,28.870713
37,gaussianas,0.999873,0.999873,0.999198,8,-14.285973,11,47.72905,23.220812,18.504407,2.681908,34.473315,6.175082
38,polinomio,1.0,0.999987,0.999657,7,27.657227,3,3.523948,9.768585,3.534988,1.487928,32.084205,4.519997
39,polinomio,0.99996,0.999899,0.999743,8,6.7205,9,2.361641,29.556278,9.570032,3.251642,42.188931,7.791553
40,polinomio,0.999949,0.999949,0.999744,8,-80.479686,14,20.310031,27.349484,13.075428,3.392035,41.442718,4.969756
41,spline,0.999622,0.998988,0.999622,8,0.943824,21,15.898372,23.084042,7.681469,23.608068,41.033034,9.242497
42,gaussianas,0.999539,0.999539,0.999175,8,21.535765,12,6.585938,21.180864,9.257979,18.813997,37.668718,15.304398
43,gaussianas,0.999948,0.999948,0.999692,8,19.850519,13,16.55943,32.34107,13.946172,44.080974,63.33413,21.902249
44,polinomio,0.999978,0.99996,0.999142,8,27.628974,9,5.760803,19.694278,7.338879,2.808669,45.468384,5.38982
45,gaussianas,0.999888,0.999888,0.999734,8,7.953458,16,23.191143,31.691274,16.151107,8.762272,70.865971,17.682944
46,gaussianas,0.99978,0.99978,0.999762,8,-35.849679,20,86.544809,39.972404,27.098836,4.818429,78.287096,8.226663
47,gaussianas,0.999999,0.999999,0.999092,8,19.988322,9,0.708331,6.837037,3.875488,4.132485,45.861402,11.865285
48,polinomio,0.999994,0.999959,0.999734,8,-4.202488,5,4.338544,26.638501,5.744298,49.86844,50.488328,13.275695
49,spline,0.999674,0.998753,0.999674,8,19.185461,15,2.283097,28.163349,8.993696,59.915462,64.174092,19.949308
50,polinomio,0.999952,0.999789,0.99971,8,-5.524042,9,6.598675,9.294055,7.074663,21.250047,19.745576,10.977942
51,gaussianas,0.999893,0.999893,0.998882,8,-32.842542,12,43.823587,18.60583,8.759474,23.584958,33.191988,8.21722
52,gaussianas,1.0,1.0,0.999216,8,19.55338,3,2.643624,23.37379,8.191851,0.046886,31.341534,2.97065
53,gaussianas,0.999917,0.999917,0.997708,8,20.615904,11,16.493145,18.404656,12.626755,36.643448,43.142101,17.019705
54,spline,0.999394,0.99892,0.999394,8,14.871745,23,4.681374,22.611654,6.279468,46.127805,48.336455,12.923185
55,gaussianas,0.999999,0.999999,0.99971,8,30.427662,7,1.515036,5.604358,5.609217,0.990501,36.469001,5.633509
56,polinomio,1.0,0.999983,0.999274,8,26.61548,3,4.321871,15.255868,6.490234,0.888051,25.373407,3.659449
57,gaussianas,1.0,1.0,0.999351,8,-13.328313,3,4.473284,19.339075,6.972726,1.418381,27.641834,5.09869
58,gaussianas,0.999701,0.999701,0.999561,8,-18.304042,12,22.324761,8.726548,21.886769,95.709153,59.793166,35.353694
59,polinomio,0.99999,0.999869,0.998893,8,8.65746,7,0.526738,12.273109,5.099798,22.574836,42.790112,18.066996
60,polinomio,1.0,1.0,0.999762,8,-38.618566,5,3.209363,17.863547,5.08789,0.302647,26.217679,3.07726
61,spline,0.999058,0.996825,0.999058,8,34.749805,17,9.500369,32.369621,13.140604,38.457879,65.850535,23.682697
62,gaussianas,0.999937,0.999937,0.998978,8,7.206475,11,44.011653,55.952218,29.397487,1.692222,68.398164,6.060459
63,gaussianas,0.999974,0.999974,0.999684,8,-76.294762,12,33.314564,8.731639,17.063802,58.593333,38.069205,30.192355
64,gaussianas,0.999386,0.999386,0.999374,8,-35.813079,15,36.027675,9.262895,12.065103,49.082855,32.227824,21.12888
65,gaussianas,1.0,1.0,0.999653,8,24.335382,7,0.88376,13.450397,3.866644,36.608161,42.497342,12.310342
66,gaussianas,0.999996,0.999996,0.999825,8,0.361775,9,1.123835,20.24846,6.070938,9.733204,34.591922,13.629688
67,polinomio,0.99999,0.999804,0.999586,8,11.025865,7,5.493434,12.863018,8.215068,27.56008,29.283524,14.292753
68,gaussianas,1.0,1.0,0.999529,8,-3.786283,8,7.059618,11.051561,7.087887,30.889557,38.965382,18.194499
69,polinomio,1.0,1.0,0.999922,8,-65.392503,2,4.473269,13.482935,5.289683,25.778566,18.044662,9.000306
70,gaussianas,0.999999,0.999999,0.99931,8,16.677051,8,24.493539,22.894545,17.901221,10.985855,29.71951,8.033822
71,spline,0.999491,0.998394,0.999491,8,24.534614,15,5.240904,25.01612,5.980336,10.513042,34.989348,9.783585
72,polinomio,1.0,1.0,0.999831,8,-37.079639,2,0.905454,8.062736,3.229508,7.43661,11.679412,5.321316
73,gaussianas,0.99992,0.99992,0.999613,8,-6.479765,15,43.279422,15.688902,12.155997,34.195946,42.440016,17.964717
74,polinomio,0.999693,0.999685,0.999346,8,-42.212103,13,32.175964,9.82652,11.04845,68.35062,33.83229,21.127901
75,spline,0.999483,0.999387,0.999483,8,-11.766305,15,53.404384,31.723818,20.643942,19.895626,57.243823,13.027883
76,gaussianas,0.999945,0.999945,0.999367,8,-21.137048,10,64.68234,22.097749,18.632712,79.61761,57.705308,17.836581
77,gaussianas,1.0,1.0,0.999159,8,15.209631,9,9.426772,22.422222,7.262911,36.195747,34.044549,14.69445
78,gaussianas,0.999755,0.999755,0.999533,8,31.527543,16,3.204182,16.330597,8.940704,30.010331,88.719038,18.446445
79,gaussianas,1.0,1.0,0.999349,8,-2.767165,6,15.389247,16.623785,15.311021,24.505258,40.624612,15.287937
80,spline,0.999101,0.991952,0.999101,8,13.223506,16,23.824874,33.123759,19.206943,52.904168,64.917808,30.388597
81,gaussianas,1.0,1.0,0.999605,8,-28.046656,9,46.289671,29.776543,16.159345,8.010993,41.548808,8.057624
82,gaussianas,0.999989,0.999989,0.999773,8,-2.949001,10,9.292363,23.303364,8.980005,19.037135,35.641313,13.649308
83,gaussianas,0.999987,0.999987,0.999797,8,-4.587395,12,9.654114,18.756225,11.71184,55.055672,68.989956,25.866638
84,gaussianas,0.999185,0.999185,0.998804,8,22.38306,16,12.176513,22.338316,10.327473,27.463718,75.104221,53.220884
85,gaussianas,0.99973,0.99973,0.999189,8,31.444743,11,1.5,7.354903,8.793625,10.484048,52.15694,14.260558
86,gaussianas,0.999823,0.999823,0.999722,8,-9.069752,18,48.173634,34.884366,18.986335,36.658629,56.656067,12.61079
87,gaussianas,0.999872,0.999872,0.999149,8,34.639791,12,20.641215,38.822947,14.873241,33.154686,71.614666,15.051053
88,gaussianas,1.0,1.0,0.999732,8,4.841967,9,6.078176,16.79702,10.414508,1.819199,29.706372,6.343388
89,gaussianas,0.999394,0.999394,0.999357,8,19.067337,21,32.17583,64.691292,25.264249,13.129295,74.088815,10.870581
90,gaussianas,0.99998,0.99998,0.999705,8,27.974347,11,7.389652,22.128787,22.467632,4.789146,49.614504,10.921935
91,gaussianas,1.0,1.0,0.999772,8,-28.9149,7,34.059383,24.622826,28.528942,0.273047,29.777588,4.594399
92,gaussianas,0.999994,0.999994,0.999881,8,-16.711223,14,38.121135,46.678027,22.718534,2.875502,56.5251,8.08295
93,gaussianas,0.999954,0.999954,0.999703,8,19.264058,15,9.844401,27.603148,11.028298,13.192633,94.827659,14.946401
94,gaussianas,0.999929,0.999929,0.99972,8,-48.116646,15,10.961651,38.313404,9.01633,77.128472,60.326684,54.755067
95,polinomio,1.0,1.0,0.999655,8,-18.390501,2,1.841689,8.162364,4.009953,0.246455,13.476884,2.416096
96,gaussianas,0.999958,0.999958,0.999601,8,-4.395451,15,1.955194,19.118745,9.278306,78.834491,72.779247,32.395171
97,gaussianas,0.999865,0.999865,0.999789,8,11.54626,16,2.151648,38.169345,6.484541,20.942425,53.447749,25.568011
98,polinomio,0.999991,0.999929,0.998817,7,31.673325,7,0.240934,47.119559,5.600232,21.929169,65.829838,23.23942
99,gaussianas,1.0,1.0,0.999532,8,4.558982,7,43.746536,26.407956,21.966914,1.281575,37.536726,6.504382
100,gaussianas,0.999829,0.999829,0.999416,8,-34.940309,11,1.559561,16.142056,5.471908,8.508955,33.462497,10.901192
101,spline,0.99903,0.999007,0.99903,7,8.248926,12,4.653928,12.035235,7.323885,47.622308,34.784036,17.769873
102,polinomio,0.999967,0.999951,0.998955,8,8.589431,7,10.412416,12.26722,7.434102,10.073055,27.174713,8.771798
103,polinomio,1.0,1.0,0.998671,8,-6.17708,3,17.307705,5.193659,16.042525,0.067289,21.853751,3.809812
104,gaussianas,0.999992,0.999992,0.998884,8,22.073168,9,0.483768,11.292154,5.626429,19.563007,56.950691,14.021115
