curva,escala,g_r2adj,g_aic,g_bic,g_rmse_min,g_codo,r2_at_bic,r2_at_aic,rmse_at_bic
1,X10,20,20,14,20,8,0.9983896167035559,0.9986168063183792,0.6396881762590554
1,X15,20,20,20,20,8,0.9985088665343759,0.9985088665343759,0.6155480409603805
1,X18,20,20,20,20,8,0.9982027518671832,0.9982027518671832,0.6757837047913954
1,X21,20,20,20,20,8,0.9979771861422475,0.9979771861422475,0.7169380907421988
1,X25,16,16,16,20,8,0.9974031078094504,0.9974031078094504,0.8123265633335471
2,X10,20,15,15,20,14,0.9881178359476591,0.9881178359476591,1.6096613492431198
2,X15,20,20,16,20,14,0.9885203653908111,0.9891751967020392,1.5821613691963194
2,X18,20,20,15,20,14,0.9883010611178268,0.9888150570341897,1.5972024951356611
2,X21,20,20,15,20,14,0.9879703988407413,0.9885032139658178,1.619617117789156
2,X25,20,20,16,20,14,0.9874627997263965,0.9880818123512034,1.6534346158423412
3,X10,15,15,15,19,8,0.9994242545198566,0.9994242545198566,0.5165382601676926
3,X15,19,16,15,19,8,0.9994558546654168,0.9994683494008813,0.5021629671029364
3,X18,19,19,16,19,8,0.9994104314366125,0.9994278067146114,0.522702269694456
3,X21,19,19,16,19,8,0.9992856241514891,0.9993039572388037,0.5753744974242727
3,X25,19,19,16,20,8,0.9991240050960127,0.9991332931809253,0.6371446145906317
4,X10,17,13,12,11,6,0.998954813053353,0.9989311168149094,0.38987969154649377
4,X15,16,16,11,15,6,0.9994384397620374,0.9994520180272743,0.28577997895238927
4,X18,19,13,13,19,6,0.9992059329599551,0.9992059329599551,0.3398303870288046
4,X21,15,15,12,16,6,0.9991072509635163,0.9991166004888191,0.3603282564868224
4,X25,20,16,13,20,6,0.9988585857119823,0.9988635090702704,0.40743213297453745
5,X10,19,19,19,19,9,0.9989378634584091,0.9989378634584091,0.3714251577896844
5,X15,19,19,19,19,9,0.9986343833963006,0.9986343833963006,0.4211584663244288
5,X18,20,20,20,20,9,0.9977989912743337,0.9977989912743337,0.5346776411680985
5,X21,20,20,20,20,9,0.9971080168396634,0.9971080168396634,0.6128850406274403
5,X25,20,20,20,20,9,0.9961865380504671,0.9961865380504671,0.703786367126331
6,X10,15,15,15,14,4,0.9997875717740775,0.9997875717740775,0.41066746181344504
6,X15,17,17,14,16,4,0.9998668108914958,0.9998678856806257,0.32517604076431517
6,X18,16,14,14,20,4,0.9997794303956581,0.9997794303956581,0.41846295257456917
6,X21,20,20,14,20,4,0.9996641337729024,0.999665332997648,0.516377547796514
6,X25,18,18,16,17,4,0.9995074054672876,0.9995065120032551,0.6253583838630414
7,X10,12,7,7,11,6,0.9997099012096404,0.9997099012096404,0.260261820094797
7,X15,9,9,7,11,5,0.9997541852109765,0.9997628023537556,0.23957500596160336
7,X18,14,9,9,9,5,0.9997765693056555,0.9997765693056555,0.22840674315169693
7,X21,16,10,10,15,5,0.9997448357542829,0.9997448357542829,0.24408855342788044
