curva,bic_X10,aic_X10,r2_X10,bic_X15,aic_X15,r2_X15,bic_X18,aic_X18,r2_X18,bic_X21,aic_X21,r2_X21,bic_X25,aic_X25,r2_X25,bic_promedio,aic_promedio,bic_max,r2_promedio,r2_min,dificultad
1,14,20,0.9984,20,20,0.9985,20,20,0.9982,20,20,0.998,16,16,0.9974,18.0,19.2,20,0.9981,0.9974,muy_dificil
2,15,15,0.9881,16,20,0.9885,15,20,0.9883,15,20,0.988,16,20,0.9875,15.4,19.0,16,0.9881,0.9875,muy_dificil
3,15,15,0.9994,15,16,0.9995,16,19,0.9994,16,19,0.9993,16,19,0.9991,15.6,17.6,16,0.9993,0.9991,muy_dificil
4,12,13,0.999,11,16,0.9994,13,13,0.9992,12,15,0.9991,13,16,0.9989,12.2,14.6,13,0.9991,0.9989,dificil
5,19,19,0.9989,19,19,0.9986,20,20,0.9978,20,20,0.9971,20,20,0.9962,19.6,19.6,20,0.9977,0.9962,muy_dificil
6,15,15,0.9998,14,17,0.9999,14,14,0.9998,14,20,0.9997,16,18,0.9995,14.6,16.8,16,0.9997,0.9995,muy_dificil
7,7,7,0.9997,7,9,0.9998,9,9,0.9998,10,10,0.9997,9,11,0.9996,8.4,9.2,10,0.9997,0.9996,media
8,18,20,0.9986,20,20,0.9987,20,20,0.9982,20,20,0.9977,20,20,0.997,19.6,20.0,20,0.998,0.997,muy_dificil
9,13,13,0.998,14,14,0.9981,14,15,0.9969,14,14,0.9958,14,18,0.9947,13.8,14.8,14,0.9967,0.9947,dificil
10,17,17,0.9992,18,20,0.9988,18,20,0.998,18,18,0.9973,18,18,0.9963,17.8,18.6,18,0.9979,0.9963,muy_dificil
11,20,20,0.9981,20,20,0.998,20,20,0.9973,20,20,0.997,20,20,0.997,20.0,20.0,20,0.9975,0.997,muy_dificil
12,16,19,0.9998,18,19,0.9998,18,19,0.9997,19,19,0.9997,19,19,0.9996,18.0,19.0,19,0.9997,0.9996,muy_dificil
13,19,19,0.9938,20,20,0.9939,20,20,0.9925,20,20,0.9917,20,20,0.9904,19.8,19.8,20,0.9924,0.9904,muy_dificil
14,19,19,0.9993,19,19,0.9992,19,19,0.9991,19,19,0.9989,20,20,0.9986,19.2,19.2,20,0.999,0.9986,muy_dificil
15,19,19,0.9988,20,20,0.9982,20,20,0.9976,20,20,0.9971,20,20,0.9965,19.8,19.8,20,0.9976,0.9965,muy_dificil
16,16,16,0.9992,16,16,0.9992,16,19,0.9989,16,20,0.9986,16,18,0.9982,16.0,17.8,16,0.9988,0.9982,muy_dificil
17,15,16,0.9993,16,17,0.9995,16,16,0.9987,17,18,0.9981,17,18,0.9975,16.2,17.0,17,0.9986,0.9975,muy_dificil
18,17,20,0.9986,17,20,0.9986,20,20,0.9983,20,20,0.9982,20,20,0.9978,18.8,20.0,20,0.9983,0.9978,muy_dificil
19,15,17,0.999,17,18,0.9994,17,20,0.9991,17,17,0.9987,17,20,0.9984,16.6,18.4,17,0.9989,0.9984,muy_dificil
20,18,20,0.9982,18,20,0.9981,18,18,0.9977,18,18,0.9973,18,18,0.9968,18.0,18.8,18,0.9976,0.9968,muy_dificil
21,20,20,0.9991,20,20,0.999,20,20,0.9987,20,20,0.9985,20,20,0.9983,20.0,20.0,20,0.9987,0.9983,muy_dificil
22,19,19,0.9991,19,19,0.9991,19,19,0.9989,19,19,0.9987,20,20,0.9983,19.2,19.2,20,0.9988,0.9983,muy_dificil
23,17,20,0.9996,20,20,0.9997,20,20,0.9994,20,20,0.9992,20,20,0.9989,19.4,20.0,20,0.9994,0.9989,muy_dificil
24,14,20,0.9994,20,20,0.9994,20,20,0.999,16,20,0.9985,16,20,0.9979,17.2,20.0,20,0.9988,0.9979,muy_dificil
25,16,17,0.9997,17,17,0.9998,17,17,0.9997,17,17,0.9995,17,17,0.9994,16.8,17.0,17,0.9996,0.9994,muy_dificil
