y_pred,params,r2,rmse,mae,max_ae,n_campanas,metodo_init,method,converged,mensaje,x_eval,curva_id,escala
"[ 0.77894234  0.82565211  0.87244832 ... 68.64710962 68.62047718
 68.59382715]","[-56.03996945   2.07394802  26.82468668  -5.9803444   64.4844529
   9.26000292  20.32896192 108.26849181  19.28280241  15.06089229
 228.10163792  23.11608508  16.5938259  194.7380572  -16.5498866
   4.45457422 281.23905022  11.40269524  28.8600865  325.58675833
  38.33453188  47.88285591]",0.9996592753751576,0.29736641911305534,0.2386835451809208,0.82494024476361,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[31.33417453 31.37261344 31.41116165 ... 53.0295579  52.97462075
 52.9196778 ]","[ 43.1469246   44.98616068  21.736223    43.98032227 123.45423567
 -20.15899332   9.23239897 161.09290174   7.48506538  59.19106634
 197.43006449  38.50018979  12.33512437 190.91485477   8.4033047
  37.31899023 265.93525781  20.46845456  22.2028247 ]",0.9994157678083645,0.35773487283548566,0.2846464932819334,1.098720170775266,6,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  6.6794589    6.73130343   6.78314779 ... 283.39839506 283.43864697
 283.47889902]",2,25
"[31.10728164 31.11457357 31.12192053 ... 77.30773673 77.29792409
 77.2881101 ]","[ -5.63981846   2.92138923   9.11497058  40.03730789 106.25292664
  20.20011733  13.42570243  81.11107247  11.63301721   9.55342662
  61.42041906   8.23588179  60.27642055 175.9440839   36.99681761
  15.34720307 232.52619276  15.2677309   36.32642959]",0.9999699419928257,0.11872458815436927,0.09597084340368929,0.34108194897869737,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  6.50200614   6.5342535    6.56650085 ... 219.02066536 219.04778232
 219.07489926]",3,25
"[41.780096   41.79278489 41.80548141 ... 93.66313575 93.67474198
 93.68634485]","[-24.27280541  -3.65042836  14.05996779  -8.8579606   68.6802733
  15.15745655  -1.50929502  67.1415831    6.75291101   1.32805436
  90.08786818   6.94972522  44.10756427 130.81391538  32.56635652
  60.3698558 ]",0.999921024368102,0.10567854032106033,0.0869962653965841,0.6199040032400802,5,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  6.58947701   6.6025888    6.61570059 ... 106.78306948 106.79761688
 106.81216429]",4,25
"[20.07990053 20.11876832 20.15773864 ... 49.46024905 49.45019185
 49.44013768]","[ -3.2879548    9.1423699    4.42220851 -54.73195899  -5.2633115
  19.48289274   5.97321757  45.40842203  11.7643934    0.66837049
  91.42653008   6.74393371  18.63249475 115.30182328  13.94743452
   1.4531512  144.69598989   6.10421158  -4.33514004 165.04391206
   8.62091747 -20.331665   243.0479685   30.27206656  63.7790569 ]",0.9999075168295002,0.11159434081880205,0.0856550437423575,1.1200994666828343,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  9.84773495   9.86996798   9.89220105 ... 217.69863744 217.72403274
 217.749428  ]",5,25
"[10.01942453 10.02291297 10.02641519 ... 65.02896044 65.02269509
 65.0164215 ]","[-21.03296844   6.45475027  20.13078659  -0.73467234  37.59975547
   3.76236793  -2.93226494  45.75129168   7.08435196   7.18662249
  72.65858075  12.49679807  46.3767077  101.23555211  19.58253615
  37.41677805 128.41344932  14.23586416  21.34831513 153.50407874
   9.00739784  30.62589317]",0.999985320895699,0.10870513612614506,0.09021092283415023,0.31201303668697733,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 10.52454727  10.5413502   10.55815314 ... 148.92385427 148.93465742
 148.94546058]",6,25
"[34.10964609 34.10889617 34.10814808 ... 80.03191996 80.03907208
 80.04622423]","[-2.17137469e+01  6.30283951e+00  1.66981949e+01 -1.73861193e+01
  3.03147138e+01  1.40498732e+01 -4.64694589e-02  6.87779293e+01
  2.07585294e+00  2.88683531e+01  1.38400606e+02  3.66188279e+01
  6.26626242e+01]",0.9999721327232859,0.0807131975699003,0.06605663399736969,0.20825021275059896,4,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 15.72641044  15.73299737  15.7395843  ... 101.48856915 101.50352719
 101.51848524]",7,25
"[31.60326174 31.63365781 31.66406523 ... 62.39597422 62.40444314
 62.41290026]","[-45.39579478  -8.42643554  16.28261545  -5.44667821  25.005657
   9.96528954  19.10514418  64.68226269  13.57182183  10.14839076
  81.11003927   8.70297146  -6.13946924 194.64445864   8.56984384
 -13.96525692 134.89727597  11.4848873  -11.63973461 164.96721545
  17.50699405   4.29262925 329.58350197 -22.16908834  65.57532077]",0.9998100734939306,0.17694218392508687,0.14295985161085473,0.7967382553800668,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  4.3700514    4.39063226   4.41121315 ... 206.24319909 206.26066181
 206.27812453]",8,25
"[22.34834198 22.37378303 22.39921472 ... 70.84265955 70.86336382
 70.88405598]","[-52.77179065  -5.91545422  12.41487514   7.73139205  43.14071494
  -7.17323499   1.91065955  53.77669951   3.74872324  -3.44888963
  75.86849371   7.00998665  32.50695117 115.72602166  15.61809629
  46.74153384]",0.9996994548163145,0.13907202331272162,0.09252488657401416,1.651658015261365,5,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  9.50767234   9.5180965    9.52852066 ... 103.64565549 103.66299452
 103.68033356]",9,25
"[11.66939231 11.7066856  11.74415058 ... 24.12320109 24.12222157
 24.12124242]","[-44.57874634  15.17116105  12.32034607  17.00555394  33.45980554
  33.43059648  -6.08675712  93.78139299  15.79993554  20.80901864
 207.49782799 -25.1417941    1.42463393 180.72649059   8.71194202
  -9.3939514  266.46714192  17.89459968 -14.17964859 323.44100782
  41.91366205  38.12603116]",0.9997514000489877,0.17748165369081564,0.14054842187044747,0.7329072980901277,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 19.40428238  19.43148669  19.45869095 ... 311.37131814 311.39737453
 311.42343091]",10,25
"[11.56660949 11.60454453 11.64253234 ... 62.38177307 62.35890447
 62.33600451]","[-35.27347788   6.18646137  17.89314766  29.58247855  69.22033283
  10.61190868  20.58785715 100.14507108  11.52506154  39.02484887
 119.3012107   20.70657301  40.43874172 166.44780239  22.38592096
  24.12439299 214.2955084   16.79028271  39.097803  ]",0.9997754150257767,0.2807168868342764,0.23367570529615062,0.8333905050846617,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 18.7827161   18.81770571  18.85269524 ... 222.35951888 222.38758161
 222.41564432]",11,25
"[ 8.6373279   8.64554481  8.65377432 ... 80.48228607 80.4877263
 80.49315464]","[ -9.96289874  -0.33284569   7.65629875  -1.99874901  50.02563321
  -5.28233089  19.73437486  54.1192835   10.37535958  15.67691014
  68.50887925  15.12480784  20.75162866  95.71272747  24.90273404
  63.28315837 154.67950578  40.49951289  16.74302257]",0.9999731645567902,0.1131219609502455,0.09154793383759963,0.5626721005881148,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  4.44807946   4.46017257   4.47226568 ... 140.97023173 140.99629012
 141.0223485 ]",12,25
"[28.10396981 28.14963937 28.19532153 ... 36.83583002 36.82311301
 36.81038795]","[ 75.40932834  36.12645736 -21.75289077  53.52882339 125.84915874
  39.56931806  67.0069049   90.13548999  14.45219964  10.48145609
 159.42759644  11.00062745 -33.65404376  89.21596049   9.89471629
  53.89709737 219.44356112 -55.4843185  -12.55166903]",0.9993566397939097,0.2510896246834976,0.1959657708919886,0.8287956279699245,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 11.52585679  11.54727752  11.56869827 ... 244.23169638 244.26066574
 244.28963513]",13,25
"[ 0.98437176  1.01664253  1.04902215 ... 95.69323186 95.71072293
 95.72821506]","[-11.82398449  -0.93565346   9.48711384  50.16551089  47.85529998
  16.66689045   4.17993783  82.90808688   8.29451173  60.95458023
 102.22135624  31.61004815   4.70501316 148.90624632  15.09763025
  -1.97048772 165.10722771   5.40094769   4.1138617  185.4740628
  11.14901255 181.11640727 375.21850214 118.06772192   6.99346452]",0.9999404507263795,0.1448703146179533,0.10819223850070143,0.6156282410718178,8,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  5.00808168   5.0398704    5.07165913 ... 234.12882898 234.14834538
 234.16786174]",14,25
"[ 4.84569055  4.88161609  4.91760745 ... 67.263209   67.25455974
 67.24590936]","[-60.51182534   1.26259363 -15.57130737   9.59616091  35.11205028
   5.42674388   4.57252147  82.59974019   6.56718669  14.73967639
 140.41346076  13.25359102  57.72684557]",0.9992032769301601,0.38258623526573865,0.3181400183094765,1.253376030280009,7,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  9.34737044   9.36772483   9.3880792  ... 152.7817061  152.7945864
 152.80746667]",15,25
"[13.15319594 13.1823373  13.21149187 ... 81.99423979 82.02112981
 82.04799636]","[-19.74589112  -6.43161791  11.07842339   2.11643179  36.18237326
   4.20821127  27.05608708  36.70499668  13.25219149  50.55944478
  66.94949875  17.85235027  21.3561258   97.87556498  13.90233911
  70.11594495 154.65965329  25.77839063  22.02015983]",0.9999099689044514,0.13923778168913106,0.11154146398376515,0.8468040623891842,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  5.75771179   5.77837709   5.79904238 ... 140.07769455 140.09901216
 140.12032978]",16,25
"[26.00025687 26.02170741 26.04316549 ... 65.46948952 65.45634228
 65.44320298]","[-37.30304828   4.68762797   9.66189367  -7.5401152   27.67870669
  13.60726685  -3.43686724  47.61267892   8.61777289  -1.28347406
  57.20792361   5.609979    -1.58549764  78.05859488   5.50940696
  17.68176857 102.19902088  10.93915203   8.16869636 111.65851799
   5.86323867   1.98039185 116.03064896   2.99814493  55.82880117]",0.9999227353535589,0.1157286249177012,0.08405313084324362,1.1997431255939262,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 13.0769113   13.08782771  13.09874413 ... 119.38169305 119.38859481
 119.39549658]",17,25
"[ 0.11829762  0.15057608  0.18283038 ... 46.23499874 46.22393494
 46.21288225]","[-120.64442684  -87.47913319   73.2021058    -2.93429981   26.98843684
   12.20918811   20.23258938   87.64560006   18.82365531    4.90101974
  118.22930419    6.65214228   11.54101307  132.46532728   24.3802514
    3.92546183  222.45871936   10.28465781   -7.57986165  254.30373789
    9.19977469   51.21092892]",0.9998128145598327,0.2224219254722314,0.1703439567180313,0.6817023792129202,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  9.65148131   9.69271563   9.73394994 ... 246.38747831 246.40765197
 246.42782559]",18,25
"[35.76034679 35.77779397 35.79524819 ... 79.92069498 79.9131895
 79.90568141]","[-46.09160021  -9.01566256  18.26918874  -3.79350669  24.16331863
   7.48078499  -0.33940799  29.93433741   1.8621034    8.23001642
  47.2721649    7.17829641   2.34584591  59.74598809   6.27588286
   0.18058577  87.01588549   2.66944843   8.55705976  99.33123853
  11.30918744   6.78598222 113.0783172    9.57911241  71.73365944]",0.9999179856004735,0.1115576478454548,0.08440716421377033,1.0396532052856031,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  3.91717463   3.93004905   3.94292349 ... 117.92259729 117.93437197
 117.94614664]",19,25
"[ 3.63035427  3.67229168  3.71429739 ... 69.08579199 69.09519967
 69.10458754]","[-21.7455966    9.66612828  11.0812922   20.44273961  57.45191142
   8.40632751  39.15368531  62.76574721  17.16821825  44.8961744
 111.70352634  25.2724247    7.22962424 135.31206792   6.5611189
  28.06385669 151.42671685  16.44940346  55.40812909 188.91416128
  22.65191507  33.92474691 224.35445881   9.94609294  17.85541333]",0.999918711191062,0.14766806392802226,0.1158217656487698,0.7696457311179055,8,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 18.60328116  18.63396892  18.66465666 ... 216.46110601 216.47818154
 216.49525706]",20,25
"[35.79780972 35.79039474 35.78300175 ... 77.21047838 77.19206736
 77.17366037]","[-24.59773319  25.96651708  32.2623413   16.49760299  83.13974194
  -8.81852966   4.70566272  61.28271414   5.30628119  23.33616679
 137.61635771  13.7379196    4.58097708 142.22551492   5.4910194
  59.23355742]",0.9998938543813997,0.1597539479642573,0.12713996277652906,0.5978097208313997,5,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 15.92968704  15.96254715  15.99540726 ... 149.47572218 149.48825621
 149.50079024]",21,25
"[13.52927846 13.53722164 13.54523833 ... 66.57258208 66.53938719
 66.50621733]","[-33.46086411   2.09796294  13.54716265 -14.34135799  41.36746494
  19.63045048  -5.38346905  88.23567673  18.29244075   5.58435931
 148.91384678  16.55855947  -1.40268292 173.32772502   6.08984198
 -13.38125322 180.17014482 -15.67476259  33.63733311 276.00265116
  25.86886011   3.56756732 278.76975477  11.00309309  48.6395697 ]",0.9999583855301465,0.11377466676378208,0.09254599996198815,0.35542056459721394,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  5.53970641   5.56195285   5.58419931 ... 305.26985877 305.31042143
 305.35098415]",22,25
"[43.70330204 43.73808748 43.7728642  ... 80.54388588 80.52839391
 80.51291322]","[-53.69965464 -31.41011855  34.52427057 -13.15414759  51.99891899
  12.76955225 -35.41821641  86.09148367  19.16366679  -3.15529459
 120.63931814  10.68790924  -7.12318537 150.4723329   20.49629583
  14.54216357 186.78483402  13.09083882  10.48500832 207.2992331
  17.00255875  73.54888635]",0.9999257804337087,0.1498629744376613,0.12140583131329664,0.6966979564248703,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  6.03687257   6.07428514   6.11169768 ... 223.3531843  223.38894773
 223.42471118]",23,25
"[ 7.94567007  7.96193639  7.97820865 ... 43.87377979 43.8567405
 43.83970761]","[-26.81520927 -19.49528464  30.62605741   5.23453596  51.60778337
   6.54512435   6.43702016  93.42347523  -8.95389868  24.63436584
  70.34975717  23.10225316  10.3961655  104.68599989  12.27258933
  47.04918109 136.52252091  18.66705821   5.62120612 152.55378104
   7.69627493  22.736105  ]",0.9999506414523808,0.10899907020988879,0.08845713653785282,0.4543299303977735,7,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 11.99641304  12.02176396  12.04711487 ... 162.03167197 162.04126273
 162.05085348]",24,25
"[11.25141087 11.26214117 11.27287259 ... 63.05640514 63.04951177
 63.04263107]","[-56.65595628 -19.0306856   29.12326248 -19.13804159  30.23016245
  19.93290149  -2.83083354  81.07681129   9.28002178   4.37967732
 102.46334134   7.13672983  16.47221319 119.54208559  11.8507152
   1.28527399 143.46085437   7.28983348  21.1120423  157.64783112
  22.85846935   1.21324257 197.83115146   8.75696352  60.70015878]",0.9999785205031666,0.09993121952318813,0.08235340234997374,0.34858912895735195,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  4.07663027   4.09469246   4.11275468 ... 208.49616133 208.5233862
 208.55061109]",25,25
"[19.78609275 19.80610544 19.826134   ... 58.66060221 58.62695802
 58.5932972 ]","[-14.28992952   4.86536449  10.05730551  27.70522236  66.77571597
  16.16460531  29.03402337  96.17002566  24.68058164  27.89050268
 160.77337503  33.13171384   7.40396019 145.82597362  10.2248097
  39.93275148 220.77512801  16.30670125  16.69764784 244.31952731
  12.80857496  29.40563304]",0.9997617370966377,0.20924806559757228,0.16408685809983894,0.6808596117520125,7,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 13.54109615  13.56371372  13.58633136 ... 246.2788319  246.30282095
 246.32680993]",26,25
"[ 0.92743849  0.98683518  1.04625443 ... 38.49827505 38.48982336
 38.48139449]","[-73.18570214 -30.74490043  41.00315419  -0.86032936  42.61528218
   7.65420002  30.80868492  80.50505716  23.00972686  26.85562354
 137.61993202  20.19448084  15.11428391 212.84463753  14.77953014
  10.96626403 179.07829759  10.88306813  -8.79341802 259.47448874
  21.38697451 -11.41705916 319.59277005  11.6517394   48.86736725]",0.9998206618561924,0.22668140740431075,0.16716229002886762,0.8450258561372053,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  6.80184189   6.85582588   6.90980985 ... 313.62238016 313.64363901
 313.66489775]",27,25
"[24.34498914 24.36477189 24.38458383 ... 77.98014055 77.99399304
 78.00783896]","[ -1.2294809   14.97274376   3.64286549  37.06358716  39.62611589
 -21.60640233  36.67806673  89.68727107 -26.69535094   0.71353589
  53.51472138  -6.6003618   71.82007875 160.16305334  25.86735787
   5.7343125  160.10002086   6.61083802   4.66752537]",0.9998922790448956,0.10589536946632018,0.08519916034156938,0.8550108565125747,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 15.71631639  15.73309108  15.74986577 ... 151.88317168 151.89543149
 151.90769129]",28,25
"[32.13650052 32.1394493  32.14241066 ... 65.21683554 65.21892034
 65.2207318 ]","[  8.09516724  31.07550685  10.92236888  37.04297454  62.3657812
  18.55171937  27.95632732  95.02450005  12.4175102   51.03829183
 137.12387292  20.51520588  11.699126   280.18330111  -3.10691954
  37.19114899 209.05057276  21.89904785  49.11201385 254.44215405
  19.69790767  31.53229524]",0.9990742908948792,0.3916760010371643,0.31719041723824,1.0634994798150572,7,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  3.73703724   3.76082683   3.78461655 ... 278.71267142 278.73099788
 278.74932433]",29,25
"[10.16813995 10.18943701 10.21074221 ... 58.34711365 58.32248376
 58.29786149]","[ 23.50122421 205.59653954 -15.29637146 107.69963939  90.27141936
  49.54385069  19.59099446 138.676413    17.43452766  41.85071241
 173.45387477  14.50538263  93.1045856  271.8258097   55.90610948
   9.0950364  289.91798119  10.11820795 -22.58382196]",0.997677158402522,0.8157056907062334,0.5897795701248442,3.5716010465652595,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 13.82441212  13.84528446  13.86615691 ... 305.11611951 305.13554171
 305.15496389]",30,25
"[ 0.5657294   0.56706516  0.56842864 ... 65.46891865 65.47733291
 65.48574596]","[ -1.55330309  14.88044701   1.99598379 -38.90503716   9.23589644
  12.90941183 -19.84567593  29.4688246   12.68027298  -2.2037214
  56.04631854   6.43227393   3.54278702  74.01142123   6.70670755
  23.39403122  91.32436208   9.78967352  47.75143385]",0.9999763646952838,0.09173640717239079,0.07238245694611567,0.2708298427055027,6,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[14.72463271 14.73180133 14.73896994 ... 82.98296031 82.99041626
 82.99787221]",31,25
"[29.72142108 29.73106572 29.74074127 ... 42.7339524  42.72582621
 42.71771498]","[-20.74902659   2.16195577   5.80517337  -1.90343041  11.13615658
   2.53007397  -0.76179595  15.24124438   1.77400729   6.90394508
  26.24841659   5.38444243   3.3472139   33.73944331   4.28359281
  11.64724934  41.93682799   8.07246959  -1.85585365  61.40479984
   4.10663283  -7.47292006  69.22280012   4.48425615  49.19219428]",0.999843597612118,0.10838310630427964,0.08704904775275807,0.6785789170682364,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 4.27030623  4.2785698   4.28683336 ... 65.76542637 65.77647713
 65.78752789]",32,25
"[31.21661834 31.22144507 31.22627493 ... 74.85641402 74.8667099
 74.87700646]","[-12.25745567  11.84100747  12.63533896   1.41408933  44.46916381
   6.7086431   63.96726843  94.56851257  19.15663434  41.04949127]",0.999907401889707,0.10736721386771482,0.08340053641355377,0.3923540978305624,3,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[20.16044031 20.1696803  20.1789203  ... 72.93409772 72.93926371
 72.94442969]",33,25
"[16.86863318 16.89226751 16.91594506 ... 27.29579632 27.28613999
 27.27648173]","[ -5.86521927  55.647135    -7.84701132  13.01717928  53.18926299
  35.01784263  47.10732517  61.37357531  20.84131238  19.74352856
 132.31221246  24.51504829   4.90557471 177.7538645   13.91244514
   8.70422941 212.20357374  11.55751005  37.91090254 179.32057236
 107.96712213  -1.75587419]",0.9997934644412199,0.18658523934071541,0.15389046625841274,0.5134867970797288,7,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  8.71379305   8.75284709   8.79190105 ... 258.11089563 258.15979075
 258.20868591]",34,25
"[ 0.64242797  0.67716605  0.7119164  ... 72.91333652 72.91413807
 72.91492968]","[ 60.15027637  41.82170281  22.64555002  55.28528985 127.4280013
 -15.17675754  49.35170493  90.00245471  22.25036169   3.23341493
 104.63631351   6.88624544  20.55293759 162.77065366  13.1056897
 104.27449397 221.98966681  70.92021415 -31.32923411]",0.9999388173680062,0.14624403130546665,0.11661226621060743,0.9575720287689148,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 15.30426969  15.32525768  15.3462457  ... 220.19671688 220.21869693
 220.24067695]",35,25
"[11.33216334 11.36867201 11.40519257 ... 83.94670643 83.93770511
 83.92869641]","[-67.13536043 -16.58907953  37.33727855   5.98811587  41.61161917
   7.19224212  -3.03418064  66.57010623   8.86355898   3.17266185
 105.24456656  -6.32680422 -29.76722802 145.14468514  15.96294738
  27.78039469 149.76776713  13.6100119   25.81785672 222.77066198
  27.7175109    2.81804812 224.38819671   5.83536261  57.43227841]",0.9999574041443371,0.10512619239832559,0.08527833801985804,0.6678366551939181,8,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 15.77571087  15.80966061  15.84361029 ... 230.40228606 230.41896195
 230.4356378 ]",36,25
"[19.04414521 19.06804135 19.09194532 ... 68.12537971 68.1266672
 68.12793385]","[-38.51549311  -6.07805731  16.41137164  -3.19823536  28.30567714
   6.73518469   9.31993373  48.80941649   7.08589779  14.46723754
  68.00879296  11.61467864  15.74082482  94.61452298  12.61960878
 -10.37871467 122.72287243   6.23189721  21.87177336 144.26997977
  17.02451449  46.3131041 ]",0.9998350975605914,0.1455386211451137,0.1171831898890898,0.9558547902701662,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[  7.58074241   7.59819925   7.61565611 ... 143.42758532 143.44323089
 143.45887648]",37,25
"[32.67880741 32.6741234  32.66944152 ... 74.15031071 74.15240317
 74.15449562]","[-49.45887673  21.54174161  27.24622601   5.8703025   59.66185388
 -10.23973678   5.68124706  45.96158787   8.5179401    0.55576965
  74.31006288   6.19592935  77.72864168]",0.9999640869870434,0.10180230090222613,0.08360221179215001,0.32347798841848174,4,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 9.76858536  9.77514613  9.7817069  ... 81.07458637 81.08652166
 81.09845696]",38,25
