y_pred,params,r2,rmse,mae,max_ae,n_campanas,metodo_init,method,converged,mensaje,x_eval,curva_id,escala
"[ 0.77894234  0.82565211  0.87244832 ... 68.64710962 68.62047718
 68.59382715]","[-56.03996945   2.07394802  26.82468668  -5.9803444   64.4844529
   9.26000292  20.32896192 108.26849181  19.28280241  15.06089229
 228.10163792  23.11608508  16.5938259  194.7380572  -16.5498866
   4.45457422 281.23905022  11.40269524  28.8600865  325.58675833
  38.33453188  47.88285591]",0.9996592753751576,0.29736641911305534,0.2386835451809208,0.82494024476361,7,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 1.99235278  2.0136819   2.03531561 ... 68.38228298 68.35218334
 68.32204845]","[-31.92845492  14.92043137  14.14765738  34.1818612  107.02656622
  24.60583953   5.79686467 194.56181754  12.57750583  32.53086729
 209.3428976   37.62147796   3.59121488 282.9642072   10.09647794
  43.3194524  327.13816343  45.8343293   33.17925242]",0.9992436125377909,0.4430597751920366,0.3614337695749483,1.200686709038699,6,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 1.10885387  1.15052811  1.19230528 ... 69.31372376 69.28964389
 69.26552754]","[ 74.23786302 104.14950719  35.26513336  23.10628574  43.21368489
 -16.47123492  51.31618599 196.67193692  33.10052483  85.97443669
 323.44518218  81.36750777  -9.77508055]",0.9985003188772134,0.6238635677128972,0.5161494883185673,1.6473147414648892,4,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 2.03601063  2.06595081  2.09605927 ... 68.71246542 68.69378177
 68.67514176]","[-17.31897002  65.48724472  13.04801019 -64.79713176  10.59832665
 -26.0622445  -15.32687177 155.0878178   16.39740984   7.07961882
 203.01581048  13.69881767   3.56508524 290.47191387   8.55924573
  12.87062231 326.13765411  20.72394353  64.37193788]",0.9933270444620713,1.315979965634514,0.8307693031115932,4.232932601670235,6,uniforme,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 5.04340581  5.08073083  5.11805817 ... 67.08507469 67.0416953
 66.99822095]","[-33.30105375 154.36411974  22.66832991 170.52474927 153.14065774
 123.92473437 112.05589146 352.52572074  60.13371932 -88.95369603]",0.9907464253420513,1.5496903500866825,1.176295483050892,4.446380828268293,3,grid_search,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 7.83897873  7.86147178  7.88399281 ... 69.63873645 69.61724407
 69.59572012]","[ 66.78326902 103.02820011 -46.57279503  39.2585701  202.79322033
  27.27431454  80.85626901 322.24378415  85.07552047  -4.85310179]",0.9833231609693887,2.080400888198311,1.547639593700564,6.887937606365072,4,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 7.83897873  7.86147178  7.88399281 ... 69.63873645 69.61724407
 69.59572012]","[ 66.78326902 103.02820011 -46.57279503  39.2585701  202.79322033
  27.27431454  80.85626901 322.24378415  85.07552047  -4.85310179]",0.9833231609693887,2.080400888198311,1.547639593700564,6.887937606365072,4,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 7.83896975  7.86146282  7.88398388 ... 69.63873223 69.61723982
 69.59571585]","[ 66.78330127 103.02819413 -46.57280897  39.25859232 202.79322267
  27.27432927  80.85630157 322.24378369  85.07549255  -4.85313184]",0.9833231603216745,2.0804009285988054,1.5476395926894728,6.887928876316374,6,prominencia,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 7.83896975  7.86146282  7.88398388 ... 69.63873223 69.61723982
 69.59571585]","[ 66.78330127 103.02819413 -46.57280897  39.25859232 202.79322267
  27.27432927  80.85630157 322.24378369  85.07549255  -4.85313184]",0.9833231603216745,2.0804009285988054,1.5476395926894728,6.887928876316374,6,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
"[ 7.83898095  7.86147396  7.88399496 ... 69.63871334 69.61722084
 69.59569678]","[ 66.78328173 103.02819141 -46.57273804  39.2587275  202.79318303
  27.27441684  80.85622991 322.2437791   85.07525914  -4.85304957]",0.9833231589317954,2.0804010152910632,1.5476371496969301,6.8879394414327075,3,altura,lm,True,Convergencia exitosa (Levenberg-Marquardt),"[ 17.88469121  17.92977604  17.97486081 ... 356.69337097 356.75394377
 356.81451665]",1,25
